Row ID,Order ID,Order Year,Order Month,Order Day,Dispatch Year,Dispatch Month,Dispatch Day,Delivery Mode,Customer ID,Customer Name,Segment,City,State/Province,Country\Region,Sales Region,Product ID,Category,Sub-Category,Discount,Product,Sales,Quantity,Profit
11,BR-2017-134096,2017,9,28,2017,10,2,Standard Class,CV-13000,Cristina Vázquez,Consumer,São Paulo,São Paulo,Brazil,LATAM - South,OFF-AR-10000266,Office Supplies,Art,none,"BIC Markers, Fluorescent",120.6,3,34.8
12,NI-2017-156335,2017,3,6,2017,3,13,Standard Class,TR-21250,Trinidad Rubio,Consumer,Managua,Managua,Nicaragua,LATAM - Central,OFF-BI-10000308,Office Supplies,Binders,none,"Cardinal Binder Covers, Durable",207.6,3,95.4
13,NI-2017-156335,2017,3,6,2017,3,13,Standard Class,TR-21250,Trinidad Rubio,Consumer,Managua,Managua,Nicaragua,LATAM - Central,OFF-SU-10003758,Office Supplies,Supplies,none,"Fiskars Scissors, High Speed",2106.4,4,504.8
14,NI-2018-121923,2018,9,24,2018,10,1,Standard Class,MG-18910,Mireia Garay,Home Office,Managua,Managua,Nicaragua,LATAM - Central,OFF-EN-10002849,Office Supplies,Envelopes,none,"Kraft Interoffice Envelope, with clear poly window",801,3,376.2
15,BR-2018-135706,2018,10,18,2018,10,23,Standard Class,HV-15625,Heriberto Valderas,Consumer,Guarapari,Espíritu Santo,Brazil,LATAM - South,FUR-FU-10004608,Furniture,Furnishings,none,"Advantus Door Stop, Erganomic",1326.4,4,357.6
16,BR-2018-135706,2018,10,18,2018,10,23,Standard Class,HV-15625,Heriberto Valderas,Consumer,Guarapari,Espíritu Santo,Brazil,LATAM - South,OFF-BI-10002128,Office Supplies,Binders,none,"Acco Binder Covers, Durable",129.4,1,10.2
17,PA-2017-126655,2017,6,27,2017,7,2,Standard Class,FA-14800,Florencio Anguiano,Corporate,San Miguelito,Panamá,Panama,LATAM - Central,OFF-EN-10004895,Office Supplies,Envelopes,0.4,"Kraft Mailers, Security-Tint",188.4,2,-66
18,PA-2017-126655,2017,6,27,2017,7,2,Standard Class,FA-14800,Florencio Anguiano,Corporate,San Miguelito,Panamá,Panama,LATAM - Central,OFF-ST-10002042,Office Supplies,Storage,0.4,"Fellowes Folders, Industrial",3082.8,7,-1491
19,PA-2017-126655,2017,6,27,2017,7,2,Standard Class,FA-14800,Florencio Anguiano,Corporate,San Miguelito,Panamá,Panama,LATAM - Central,OFF-FA-10002066,Office Supplies,Fasteners,0.4,"OIC Clamps, Bulk Pack",401.76,2,-60.64
20,PA-2017-126655,2017,6,27,2017,7,2,Standard Class,FA-14800,Florencio Anguiano,Corporate,San Miguelito,Panamá,Panama,LATAM - Central,OFF-EN-10003484,Office Supplies,Envelopes,0.4,"Ames Clasp Envelope, Recycled",87.84,3,-48.36
21,MX-2017-167759,2017,12,20,2017,12,26,Standard Class,HS-15610,Higinio Suárez,Corporate,San Cristóbal de Las Casas,Chiapas,Mexico,LATAM - North,OFF-ST-10004377,Office Supplies,Storage,0.2,"Rogers File Cart, Single Width",2734.72,4,957.12
22,CL-2017-163139,2017,10,30,2017,11,3,Second Class,TG-21055,Tamara González,Consumer,Santiago,Santiago,Chile,LATAM - South,TEC-CO-10000500,Technology,Copiers,0,"Canon Fax and Copier, High-Speed",270,1,59.4
23,CL-2017-163139,2017,10,30,2017,11,3,Second Class,TG-21055,Tamara González,Consumer,Santiago,Santiago,Chile,LATAM - South,OFF-LA-10004020,Office Supplies,Labels,0,"Hon Color Coded Labels, 5000 Label Set",2070,9,662.4
24,PA-2018-119753,2018,10,3,2018,10,8,Standard Class,DG-13195,Damiana Guardado,Corporate,Ciudad de Panamá,Panamá,Panama,LATAM - Central,OFF-AR-10000110,Office Supplies,Art,0.4,"Binney & Smith Sketch Pad, Blue",606.6,3,-202.2
25,MX-2016-133970,2016,9,27,2016,9,30,First Class,RD-20215,Ramiro Dávila,Consumer,Hermosillo,Sonora,Mexico,LATAM - North,OFF-ST-10003305,Office Supplies,Storage,0.4,"Rogers Box, Blue",1811.16,9,-755.64
26,MX-2018-120607,2018,6,18,2018,6,25,Standard Class,SO-20650,Sabina Ornelas,Corporate,Ciudad de México,Distrito Federal,Mexico,LATAM - North,TEC-PH-10000437,Technology,Phones,0.002,"Cisco Signal Booster, VoIP",3261.86,2,647.0632
27,MX-2018-120607,2018,6,18,2018,6,25,Standard Class,SO-20650,Sabina Ornelas,Corporate,Ciudad de México,Distrito Federal,Mexico,LATAM - North,FUR-BO-10003905,Furniture,Bookcases,0,"Ikea Stackable Bookrack, Mobile",800,5,344
28,HN-2017-167129,2017,5,25,2017,6,1,Standard Class,PC-20050,Plácido Calvillo,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,OFF-AR-10000594,Office Supplies,Art,0.4,"Binney & Smith Highlighters, Water Color",1412.88,7,-730.52
29,HN-2017-167129,2017,5,25,2017,6,1,Standard Class,PC-20050,Plácido Calvillo,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,OFF-BI-10001808,Office Supplies,Binders,0.4,"Cardinal Binding Machine, Clear",218.4,4,-32.8
31,HN-2017-167129,2017,5,25,2017,6,1,Standard Class,PC-20050,Plácido Calvillo,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,FUR-CH-10003365,Furniture,Chairs,0.4,"Office Star Executive Leather Armchair, Adjustable",192.72,2,28.72
32,HN-2017-167129,2017,5,25,2017,6,1,Standard Class,PC-20050,Plácido Calvillo,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,OFF-AR-10001898,Office Supplies,Art,0.4,"Binney & Smith Pencil Sharpener, Fluorescent",1522.8,5,-990.2
33,HN-2017-167129,2017,5,25,2017,6,1,Standard Class,PC-20050,Plácido Calvillo,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,TEC-CO-10004662,Technology,Copiers,0.402,"Hewlett Fax Machine, Color",9417.78,8,-6017.4176
34,HN-2017-167129,2017,5,25,2017,6,1,Standard Class,PC-20050,Plácido Calvillo,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,FUR-FU-10001200,Furniture,Furnishings,0.4,"Tenex Photo Frame, Erganomic",104.16,1,-7.04
35,MX-2018-100727,2018,5,15,2018,5,18,First Class,DC-13525,David Caraballo,Corporate,Ciudad de México,Distrito Federal,Mexico,LATAM - North,OFF-LA-10001154,Office Supplies,Labels,0,"Hon Shipping Labels, Adjustable",3007.2,14,1290.8
36,MX-2018-100727,2018,5,15,2018,5,18,First Class,DC-13525,David Caraballo,Corporate,Ciudad de México,Distrito Federal,Mexico,LATAM - North,OFF-FA-10002715,Office Supplies,Fasteners,0,"Stockwell Clamps, 12 Pack",1381.8,7,537.6
37,MX-2018-100727,2018,5,15,2018,5,18,First Class,DC-13525,David Caraballo,Corporate,Ciudad de México,Distrito Federal,Mexico,LATAM - North,OFF-FA-10003990,Office Supplies,Fasteners,0,"Stockwell Clamps, Metal",908,4,317.6
38,CU-2018-154739,2018,7,4,2018,7,7,Second Class,RC-20440,Reinaldo Córdova,Corporate,Artemisa,Artemisa,Cuba,LATAM - Caribbean,OFF-ST-10000710,Office Supplies,Storage,0,"Smead Shelving, Blue",5293.2,3,2646.6
39,CU-2018-154739,2018,7,4,2018,7,7,Second Class,RC-20440,Reinaldo Córdova,Corporate,Artemisa,Artemisa,Cuba,LATAM - Caribbean,OFF-PA-10001212,Office Supplies,Paper,0,"Xerox Message Books, Recycled",3336,4,1067.2
40,CU-2018-154739,2018,7,4,2018,7,7,Second Class,RC-20440,Reinaldo Córdova,Corporate,Artemisa,Artemisa,Cuba,LATAM - Caribbean,OFF-BI-10000312,Office Supplies,Binders,0,"Cardinal Binder Covers, Economy",427.2,4,4
41,DO-2018-121398,2018,12,9,2018,12,11,Second Class,AV-10825,Amelia Vega,Corporate,La Romana,La Romana,Dominican Republic,LATAM - Caribbean,OFF-LA-10003283,Office Supplies,Labels,0.2,"Hon File Folder Labels, 5000 Label Set",624,3,85.8
42,MX-2017-121839,2017,6,18,2017,6,22,Second Class,OP-19690,Onésimo Pagán,Consumer,Milpa Alta,Distrito Federal,Mexico,LATAM - North,TEC-PH-10003153,Technology,Phones,0,"Samsung Signal Booster, with Caller ID",3460.8,4,1556.8
43,MX-2018-142643,2018,10,29,2018,11,2,Standard Class,LG-17815,Lorena Garay,Consumer,San Juan del Río,Querétaro,Mexico,LATAM - North,TEC-PH-10001014,Technology,Phones,0,"Cisco Speaker Phone, with Caller ID",4140,2,455.2
44,MX-2018-142643,2018,10,29,2018,11,2,Standard Class,LG-17815,Lorena Garay,Consumer,San Juan del Río,Querétaro,Mexico,LATAM - North,OFF-AR-10002094,Office Supplies,Art,0,"Boston Pencil Sharpener, Water Color",7223.6,2,505.6
45,MX-2018-142643,2018,10,29,2018,11,2,Standard Class,LG-17815,Lorena Garay,Consumer,San Juan del Río,Querétaro,Mexico,LATAM - North,TEC-CO-10001375,Technology,Copiers,0,"Brother Copy Machine, Color",563.4,3,39
46,BR-2018-164959,2018,1,17,2018,1,18,Same Day,JC-16960,Julio Corral,Home Office,Goiânia,Goiás,Brazil,LATAM - South,OFF-SU-10001125,Office Supplies,Supplies,0,"Stiletto Letter Opener, High Speed",1689.6,3,405
47,DO-2016-151372,2016,4,28,2016,5,3,Standard Class,AL-10240,Adolfo Lira,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,FUR-BO-10002892,Furniture,Bookcases,0.2,"Safco Classic Bookcase, Mobile",1254.4,5,-0.6
48,DO-2016-151372,2016,4,28,2016,5,3,Standard Class,AL-10240,Adolfo Lira,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,TEC-CO-10003471,Technology,Copiers,0.202,"Hewlett Fax and Copier, Color",1534.08,2,361.2752
49,BR-2015-127145,2015,6,13,2015,6,18,Standard Class,QG-20200,Quique Griego,Consumer,São Benedito,Ceará,Brazil,LATAM - South,OFF-ST-10002900,Office Supplies,Storage,0,"Smead Lockers, Wire Frame",267.6,2,74.8
50,CO-2018-100783,2018,5,6,2018,5,10,Standard Class,MR-18205,Mafalda Rojo,Corporate,Medellín,Antioquia,Colombia,LATAM - South,OFF-BI-10001754,Office Supplies,Binders,0,"Ibico Binder Covers, Recycled",449,5,85
51,MX-2015-168662,2015,10,14,2015,10,19,Second Class,IE-16255,Inmaculada Escobar,Corporate,Toluca,México,Mexico,LATAM - North,OFF-LA-10000709,Office Supplies,Labels,0,"Avery Color Coded Labels, Alphabetical",668.8,4,287.2
52,HN-2015-150987,2015,4,3,2015,4,7,Second Class,DC-13480,Débora Ceja,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,TEC-MA-10003404,Technology,Machines,0.402,"Konica Card Printer, Durable",2306.73,3,-856.4748
53,HN-2015-150987,2015,4,3,2015,4,7,Second Class,DC-13480,Débora Ceja,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,TEC-CO-10003362,Technology,Copiers,0.402,"Sharp Fax and Copier, High-Speed",1724.39,3,-34.8072
54,HN-2015-150987,2015,4,3,2015,4,7,Second Class,DC-13480,Débora Ceja,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,OFF-AR-10001533,Office Supplies,Art,0.4,"Sanford Sketch Pad, Easy-Erase",6834.96,3,-797.64
55,HN-2015-150987,2015,4,3,2015,4,7,Second Class,DC-13480,Débora Ceja,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,OFF-EN-10003177,Office Supplies,Envelopes,0.4,"Kraft Interoffice Envelope, Recycled",277.2,2,41.2
56,DO-2017-156013,2017,6,1,2017,6,6,Standard Class,CB-13030,Crístofer Barraza,Home Office,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,OFF-BI-10001808,Office Supplies,Binders,0.2,"Cardinal Binding Machine, Clear",218.4,3,30
57,DO-2017-156013,2017,6,1,2017,6,6,Standard Class,CB-13030,Crístofer Barraza,Home Office,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,OFF-PA-10002248,Office Supplies,Paper,0.4,"Green Bar Memo Slips, 8.5 x 11",2005.44,4,-133.76
59,PA-2015-134950,2015,8,25,2015,8,29,Standard Class,NH-19240,Neftalí Herrera,Consumer,Ciudad de Panamá,Panamá,Panama,LATAM - Central,FUR-FU-10004137,Furniture,Furnishings,0.4,"Tenex Light Bulb, Erganomic",227.16,3,-117.84
60,BR-2017-152611,2017,10,12,2017,10,18,Standard Class,CB-13030,Crístofer Barraza,Home Office,Pinheiro,Maranhão,Brazil,LATAM - South,TEC-PH-10004505,Technology,Phones,0,"Nokia Smart Phone, Full Size",3913.2,9,1447.2
61,MX-2015-155488,2015,10,22,2015,10,28,Standard Class,CA-12220,Carina Almaraz,Consumer,La Paz,Baja California Sur,Mexico,LATAM - North,OFF-AR-10002145,Office Supplies,Art,0,"Binney & Smith Sketch Pad, Fluorescent",635.4,1,209.6
62,BR-2018-116337,2018,5,16,2018,5,16,Same Day,MR-18205,Mafalda Rojo,Corporate,Lençóis Paulista,São Paulo,Brazil,LATAM - South,OFF-ST-10000288,Office Supplies,Storage,0,"Fellowes Lockers, Industrial",8752.2,3,1399.8
63,HN-2016-164609,2016,8,27,2016,8,29,Second Class,JA-16885,Joshua Altamirano,Consumer,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Central,OFF-PA-10003416,Office Supplies,Paper,0.4,"Enermax Note Cards, Multicolor",4376.88,3,-2480.52
64,MX-2018-165442,2018,3,14,2018,3,17,First Class,AV-11530,Astrid Vega,Home Office,Ciudad Madero,Tamaulipas,Mexico,LATAM - North,OFF-AR-10000467,Office Supplies,Art,0,"Sanford Markers, Fluorescent",686,2,267.2
65,MX-2018-165442,2018,3,14,2018,3,17,First Class,AV-11530,Astrid Vega,Home Office,Ciudad Madero,Tamaulipas,Mexico,LATAM - North,OFF-AR-10000079,Office Supplies,Art,0,"Stanley Pencil Sharpener, Fluorescent",487,5,175
66,HN-2016-104997,2016,11,6,2016,11,12,Standard Class,NL-19300,Nelson Limón,Consumer,La Ceiba,Atlántida,Honduras,LATAM - Central,OFF-ST-10000922,Office Supplies,Storage,0.7,"Eldon File Cart, Blue",1321.08,2,-924.92
67,CU-2015-165673,2015,6,1,2015,6,6,Standard Class,NP-19210,Natalia Paredes,Corporate,Guantánamo,Guantánamo,Cuba,LATAM - Caribbean,OFF-BI-10004328,Office Supplies,Binders,0,"Wilson Jones Binding Machine, Economy",179.6,2,57.2
68,CU-2015-165673,2015,6,1,2015,6,6,Standard Class,NP-19210,Natalia Paredes,Corporate,Guantánamo,Guantánamo,Cuba,LATAM - Caribbean,TEC-PH-10000309,Technology,Phones,0.002,"Motorola Audio Dock, with Caller ID",6356.26,5,2661.262
69,CO-2017-164021,2017,7,24,2017,7,30,Standard Class,AR-11140,Antonio Rocha,Consumer,Bello,Antioquia,Colombia,LATAM - South,OFF-PA-10003455,Office Supplies,Paper,0,"Xerox Cards & Envelopes, Premium",8746.8,3,4110.6
70,CO-2017-164021,2017,7,24,2017,7,30,Standard Class,AR-11140,Antonio Rocha,Consumer,Bello,Antioquia,Colombia,LATAM - South,OFF-ST-10002042,Office Supplies,Storage,0,"Fellowes Folders, Industrial",759.6,6,379.2
71,BR-2018-120194,2018,9,12,2018,9,19,Standard Class,VA-21445,Valentina Acuna,Corporate,Abreu e Lima,Pernambuco,Brazil,LATAM - South,OFF-ST-10000624,Office Supplies,Storage,0.2,"Eldon File Cart, Single Width",9282.56,2,-812.24
72,DO-2015-132388,2015,2,24,2015,2,28,Standard Class,EA-14470,Ezequiel Acevedo,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,TEC-PH-10001066,Technology,Phones,0.7,"Apple Smart Phone, Cordless",1074.48,2,-1217.92
73,MX-2016-156720,2016,2,18,2016,2,23,Standard Class,EP-14215,Evaristo Pérez,Corporate,Monterrey,Nuevo León,Mexico,LATAM - North,OFF-LA-10001375,Office Supplies,Labels,0,"Smead Removable Labels, 5000 Label Set",285,1,122.4
74,MX-2016-156720,2016,2,18,2016,2,23,Standard Class,EP-14215,Evaristo Pérez,Corporate,Monterrey,Nuevo León,Mexico,LATAM - North,TEC-CO-10002269,Technology,Copiers,0,"Brother Ink, Color",980,5,205
75,MX-2016-156720,2016,2,18,2016,2,23,Standard Class,EP-14215,Evaristo Pérez,Corporate,Monterrey,Nuevo León,Mexico,LATAM - North,OFF-AR-10001228,Office Supplies,Art,0,"Stanley Markers, Water Color",89.6,2,39.2
76,MX-2016-156720,2016,2,18,2016,2,23,Standard Class,EP-14215,Evaristo Pérez,Corporate,Monterrey,Nuevo León,Mexico,LATAM - North,OFF-EN-10002013,Office Supplies,Envelopes,0,"Kraft Business Envelopes, Security-Tint",1357,5,312
77,PE-2018-157630,2018,6,25,2018,6,29,Standard Class,JS-16915,Josué Solórzano,Consumer,Lima,Lima (city),Peru,LATAM - South,OFF-LA-10003591,Office Supplies,Labels,0.4,"Smead Removable Labels, Laser Printer Compatible",185.28,2,-83.52
78,PE-2018-157630,2018,6,25,2018,6,29,Standard Class,JS-16915,Josué Solórzano,Consumer,Lima,Lima (city),Peru,LATAM - South,FUR-CH-10001429,Furniture,Chairs,0.4,"SAFCO Executive Leather Armchair, Adjustable",1587.6,2,158.4
79,PE-2018-157630,2018,6,25,2018,6,29,Standard Class,JS-16915,Josué Solórzano,Consumer,Lima,Lima (city),Peru,LATAM - South,OFF-FA-10004424,Office Supplies,Fasteners,0.4,"Advantus Clamps, 12 Pack",1217.16,7,-20.44
80,PA-2015-119935,2015,6,14,2015,6,18,Standard Class,IR-16465,Isaías Rosales,Consumer,San Miguelito,Panamá,Panama,LATAM - Central,OFF-ST-10001222,Office Supplies,Storage,0.4,"Eldon Shelving, Single Width",227.88,3,-7.92
81,PA-2015-119935,2015,6,14,2015,6,18,Standard Class,IR-16465,Isaías Rosales,Consumer,San Miguelito,Panamá,Panama,LATAM - Central,OFF-ST-10004577,Office Supplies,Storage,0.4,"Tenex Shelving, Wire Frame",3230.64,14,-1240.96
82,PA-2015-119935,2015,6,14,2015,6,18,Standard Class,IR-16465,Isaías Rosales,Consumer,San Miguelito,Panamá,Panama,LATAM - Central,TEC-CO-10001191,Technology,Copiers,0.4,"Sharp Wireless Fax, High-Speed",1375.2,3,-229.2
83,PA-2015-119935,2015,6,14,2015,6,18,Standard Class,IR-16465,Isaías Rosales,Consumer,San Miguelito,Panamá,Panama,LATAM - Central,FUR-CH-10004792,Furniture,Chairs,0.4,"SAFCO Swivel Stool, Set of Two",395.4,5,-198.6
84,MX-2017-119970,2017,6,26,2017,7,2,Standard Class,MM-18220,Maya Méndez,Consumer,Ciudad de México,Distrito Federal,Mexico,LATAM - North,FUR-BO-10000786,Furniture,Bookcases,0,"Sauder Stackable Bookrack, Pine",2639.2,2,52.4
85,MX-2017-119970,2017,6,26,2017,7,2,Standard Class,MM-18220,Maya Méndez,Consumer,Ciudad de México,Distrito Federal,Mexico,LATAM - North,OFF-LA-10003283,Office Supplies,Labels,0,"Harbour Creations Removable Labels, Adjustable",1443,5,360
86,MX-2018-165925,2018,1,23,2018,1,28,Standard Class,CA-12355,Camilo Almaraz,Consumer,Tuxtla Gutiérrez,Chiapas,Mexico,LATAM - North,OFF-BI-10003642,Office Supplies,Binders,0,"Wilson Jones Binder, Economy",367.2,3,102.6
87,MX-2018-137365,2018,6,18,2018,6,23,Standard Class,MC-18760,Mauro Cortés,Consumer,Piedras Negras,Coahuila,Mexico,LATAM - North,OFF-BI-10001833,Office Supplies,Binders,0,"Ibico Hole Reinforcements, Recycled",769.6,8,99.2
88,MX-2018-137365,2018,6,18,2018,6,23,Standard Class,MC-18760,Mauro Cortés,Consumer,Piedras Negras,Coahuila,Mexico,LATAM - North,OFF-ST-10001547,Office Supplies,Storage,0.4,"Rogers Lockers, Industrial",390.24,2,-19.76
89,MX-2016-158981,2016,12,29,2017,1,2,Standard Class,SA-20845,Samuel Alemán,Consumer,Tijuana,Baja California,Mexico,LATAM - North,TEC-CO-10002981,Technology,Copiers,0,"HP Wireless Fax, High-Speed",1426.8,3,327.6
90,MX-2016-158981,2016,12,29,2017,1,2,Standard Class,SA-20845,Samuel Alemán,Consumer,Tijuana,Baja California,Mexico,LATAM - North,OFF-LA-10004727,Office Supplies,Labels,0.2,"Hon File Folder Labels, Laser Printer Compatible",5820,3,2182.2
91,MX-2016-158981,2016,12,29,2017,1,2,Standard Class,SA-20845,Samuel Alemán,Consumer,Tijuana,Baja California,Mexico,LATAM - North,OFF-AR-10000980,Office Supplies,Art,0,"Sanford Pencil Sharpener, Water Color",419.4,9,0
92,MX-2016-158981,2016,12,29,2017,1,2,Standard Class,SA-20845,Samuel Alemán,Consumer,Tijuana,Baja California,Mexico,LATAM - North,OFF-EN-10003936,Office Supplies,Envelopes,0,"Cameo Peel and Seal, with clear poly window",2550,10,918
93,MX-2017-169292,2017,4,24,2017,4,28,Standard Class,AC-10780,Amadeo Collado,Corporate,Chihuahua,Chihuahua,Mexico,LATAM - North,OFF-BI-10003705,Office Supplies,Binders,0,"Wilson Jones Binding Machine, Recycled",589,5,153
94,MX-2017-169292,2017,4,24,2017,4,28,Standard Class,AC-10780,Amadeo Collado,Corporate,Chihuahua,Chihuahua,Mexico,LATAM - North,OFF-EN-10002065,Office Supplies,Envelopes,0,"Ames Clasp Envelope, Set of 50",883,5,88
95,MX-2017-169292,2017,4,24,2017,4,28,Standard Class,AC-10780,Amadeo Collado,Corporate,Chihuahua,Chihuahua,Mexico,LATAM - North,OFF-BI-10001544,Office Supplies,Binders,0,"Wilson Jones Hole Reinforcements, Clear",176.8,2,22.8
96,BR-2015-112319,2015,4,20,2015,4,26,Standard Class,IR-16465,Isaías Rosales,Consumer,Natal,Río Grande del Norte,Brazil,LATAM - South,OFF-ST-10000486,Office Supplies,Storage,0,"Rogers Trays, Industrial",5759.6,7,1208.2
97,BR-2015-112319,2015,4,20,2015,4,26,Standard Class,IR-16465,Isaías Rosales,Consumer,Natal,Río Grande del Norte,Brazil,LATAM - South,TEC-AC-10003904,Technology,Accessories,0,"SanDisk Keyboard, USB",553.6,2,16.4
98,NI-2015-149986,2015,10,22,2015,10,26,Standard Class,AM-10075,Alberto Márquez,Corporate,Managua,Managua,Nicaragua,LATAM - Central,FUR-BO-10002632,Furniture,Bookcases,0,"Sauder Corner Shelving, Pine",960,3,48
99,DO-2017-125892,2017,8,9,2017,8,11,First Class,MR-18400,Manila Roque,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,OFF-ST-10004597,Office Supplies,Storage,0.2,"Rogers File Cart, Blue",923.04,3,-35.16
100,DO-2017-125892,2017,8,9,2017,8,11,First Class,MR-18400,Manila Roque,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,OFF-BI-10002570,Office Supplies,Binders,0.2,"Acco Binder Covers, Clear",849.6,6,-54
101,GT-2017-158533,2017,12,14,2017,12,19,Second Class,HH-15850,Higinia Horta,Consumer,Mixco,Guatemala,Guatemala,LATAM - Central,TEC-AC-10004791,Technology,Accessories,0,"Belkin Keyboard, USB",4946.4,3,1978.2
102,CU-2017-165708,2017,12,5,2017,12,10,Standard Class,BF-12040,Bibiana Ferro,Home Office,Camagüey,Camagüey,Cuba,LATAM - Caribbean,OFF-BI-10001124,Office Supplies,Binders,0,"Ibico Binder Covers, Clear",394,5,51
103,MX-2017-103051,2017,11,5,2017,11,11,Standard Class,UR-21400,Unai Reynoso,Consumer,Ocotlán,Jalisco,Mexico,LATAM - North,TEC-AC-10000170,Technology,Accessories,0.2,"Memorex Keyboard, Programmable",2445.6,5,-275.4
104,MX-2017-103051,2017,11,5,2017,11,11,Standard Class,UR-21400,Unai Reynoso,Consumer,Ocotlán,Jalisco,Mexico,LATAM - North,FUR-FU-10004604,Furniture,Furnishings,0,"Deflect-O Clock, Erganomic",164.8,2,22.8
105,MX-2017-151988,2017,12,1,2017,12,3,Second Class,NC-19150,Nadia Calderón,Consumer,Cholula,Puebla,Mexico,LATAM - North,OFF-FA-10002531,Office Supplies,Fasteners,0,"Advantus Paper Clips, Bulk Pack",56.8,1,22.6
106,MX-2016-141915,2016,10,11,2016,10,17,Standard Class,KA-17350,Kristina Arroyo,Consumer,Ciudad de México,Distrito Federal,Mexico,LATAM - North,OFF-SU-10002451,Office Supplies,Supplies,0.2,"Elite Letter Opener, High Speed",2665.44,9,66.24
107,DO-2015-150623,2015,9,28,2015,10,3,Standard Class,FM-14785,Flora Montes,Home Office,Santo Domingo,Santo Domingo,Dominican Republic,LATAM - Caribbean,OFF-BI-10002459,Office Supplies,Binders,0.2,"Cardinal Binding Machine, Recycled",772.8,3,-10.2
